Post_ID,Date,Post_Type,Caption_Length,Hashtags,Posting_Hour,Video_Duration_Sec,Likes,Comments,Shares,Saves,Followers,Reach,Impressions,Profile_Visits,Website_Clicks,New_Followers
1,2022-01-01,Reel,252.0,13.0,11,49,260.0,23.0,16.0,15.0,4000,5651,8864,87,11,22
2,2022-01-02,Reel,78.0,8.0,7,61,230.0,24.0,35.0,14.0,4010,6493,10142,100,16,25
3,2022-01-03,Story,171.0,10.0,20,14,155.0,7.0,9.0,21.0,4021,3534,4883,177,51,39
4,2022-01-04,Reel,157.0,16.0,15,35,568.0,57.0,54.0,,4031,7334,12278,334,83,76
5,2022-01-05,Reel,22.0,20.0,18,29,325.0,22.0,57.0,24.0,4042,8213,9960,87,19,9
6,2022-01-06,Story,217.0,5.0,18,6,141.0,8.0,26.0,14.0,4052,2414,3682,44,10,9
7,2022-01-07,Reel,48.0,14.0,22,53,211.0,10.0,31.0,7.0,4063,4374,6989,67,9,20
8,2022-01-08,Story,70.0,5.0,7,12,62.0,3.0,7.0,2.0,4073,1792,2079,56,12,17
9,2022-01-09,Image,32.0,11.0,14,0,184.0,12.0,,18.0,4084,2393,3976,37,4,5
10,2022-01-10,Carousel,76.0,15.0,23,0,225.0,23.0,18.0,12.0,4094,2972,3887,175,30,32
11,2022-01-11,Reel,67.0,16.0,15,37,148.0,15.0,32.0,22.0,4105,4129,6915,140,36,31
12,2022-01-12,Reel,282.0,15.0,21,80,177.0,7.0,15.0,17.0,4115,2930,3459,62,9,10
13,2022-01-13,Reel,250.0,16.0,13,53,596.0,29.0,82.0,82.0,4126,8372,13519,457,103,87
14,2022-01-14,Carousel,48.0,14.0,20,0,131.0,7.0,14.0,8.0,4136,3474,5323,186,51,46
15,2022-01-15,Reel,235.0,11.0,9,18,464.0,20.0,28.0,64.0,4147,6148,9848,62,4,11
16,2022-01-16,Reel,198.0,20.0,6,21,307.0,12.0,31.0,16.0,4157,4732,7975,154,10,34
17,2022-01-17,Image,11.0,11.0,6,0,180.0,13.0,30.0,28.0,4168,3867,5842,208,43,45
18,2022-01-18,Reel,117.0,7.0,20,75,293.0,17.0,39.0,46.0,4178,6287,9957,225,45,68
19,2022-01-19,Image,226.0,16.0,19,0,118.0,3.0,7.0,7.0,4189,2012,2988,56,8,8
20,2022-01-20,Story,142.0,14.0,15,4,20.0,1.0,3.0,1.0,4199,300,456,12,0,3
21,2022-01-21,Reel,212.0,2.0,15,53,171.0,14.0,40.0,5.0,4210,4671,5774,164,14,35
22,2022-01-22,Reel,178.0,0.0,19,73,327.0,18.0,29.0,49.0,4220,8322,12673,368,70,107
23,2022-01-23,Reel,81.0,14.0,16,23,300.0,24.0,23.0,13.0,4231,4663,7019,259,37,65
24,2022-01-24,Image,205.0,11.0,9,0,68.0,2.0,6.0,7.0,4241,1656,2554,20,5,6
25,2022-01-25,Reel,247.0,19.0,23,25,506.0,23.0,51.0,72.0,4252,6309,10124,124,34,24
26,2022-01-26,Story,293.0,20.0,11,8,104.0,,17.0,9.0,4262,2321,3939,138,37,44
27,2022-01-27,Reel,53.0,14.0,8,55,447.0,30.0,79.0,19.0,4273,5283,7406,127,10,22
28,2022-01-28,Reel,292.0,15.0,20,33,509.0,44.0,125.0,57.0,4283,7637,9094,150,38,14
29,2022-01-29,Reel,187.0,10.0,23,48,160.0,6.0,32.0,17.0,4294,2889,3768,83,11,28
30,2022-01-30,Image,11.0,8.0,15,0,221.0,14.0,31.0,9.0,4304,3580,6041,72,6,20
31,2022-01-31,Carousel,145.0,6.0,13,0,341.0,20.0,45.0,11.0,4315,3650,4458,138,11,32
32,2022-02-01,Image,108.0,16.0,18,0,254.0,14.0,61.0,12.0,4325,2711,3255,141,7,22
33,2022-02-02,Image,295.0,19.0,8,0,19.0,1.0,1.0,2.0,4336,300,400,5,0,1
34,2022-02-03,Reel,249.0,17.0,11,29,228.0,15.0,13.0,19.0,4346,4929,8360,66,14,7
35,2022-02-04,Reel,267.0,9.0,17,75,17.0,1.0,2.0,2.0,4357,404,609,9,2,1
36,2022-02-05,Image,148.0,5.0,6,0,333.0,10.0,82.0,39.0,4367,4229,4880,208,60,59
37,2022-02-06,Image,25.0,18.0,13,0,183.0,14.0,29.0,12.0,4378,3799,5620,87,10,15
38,2022-02-07,Reel,65.0,8.0,14,29,383.0,34.0,65.0,17.0,4388,6598,11118,87,11,22
39,2022-02-08,Reel,192.0,16.0,10,64,139.0,12.0,8.0,9.0,4399,3670,4347,99,17,16
40,2022-02-09,Reel,117.0,5.0,23,49,244.0,24.0,43.0,36.0,4409,3540,5741,44,7,11
41,2022-02-10,Story,181.0,0.0,19,9,47.0,4.0,3.0,7.0,4420,951,1395,13,1,3
42,2022-02-11,Reel,120.0,18.0,21,34,662.0,60.0,134.0,22.0,4430,8714,13106,451,81,125
43,2022-02-12,Reel,83.0,11.0,10,54,397.0,17.0,46.0,51.0,4441,7123,11605,362,86,47
44,2022-02-13,Reel,190.0,4.0,23,83,122.0,5.0,9.0,8.0,4451,3441,5694,112,29,12
45,2022-02-14,Reel,280.0,19.0,20,54,393.0,29.0,26.0,46.0,4462,6448,9930,341,66,97
46,2022-02-15,Reel,196.0,11.0,15,56,361.0,15.0,56.0,49.0,4472,5351,7194,185,16,20
47,2022-02-16,Image,78.0,12.0,19,0,185.0,19.0,26.0,11.0,4483,2985,4397,39,11,13
48,2022-02-17,Carousel,167.0,,11,0,396.0,42.0,40.0,12.0,4493,4507,5289,167,24,50
49,2022-02-18,Carousel,252.0,17.0,21,0,240.0,17.0,40.0,22.0,4504,3129,4251,84,14,22
50,2022-02-19,Reel,189.0,2.0,8,43,366.0,11.0,24.0,47.0,4514,7627,9764,253,33,22
51,2022-02-20,Reel,46.0,9.0,11,58,412.0,32.0,54.0,29.0,4525,5535,7155,163,34,37
52,2022-02-21,Story,131.0,8.0,6,8,105.0,3.0,7.0,11.0,4535,2376,2959,63,17,13
53,2022-02-22,Reel,16.0,4.0,13,18,,10.0,6.0,13.0,4546,2421,3826,97,7,25
54,2022-02-23,Reel,200.0,13.0,9,52,136.0,4.0,31.0,11.0,4556,2617,3860,30,5,7
